seed,model,macro_precision,macro_recall_ba,macro_f1,overall_accuracy,peloid_precision,peloid_recall,peloid_f1,peloid_support,ooid_precision,ooid_recall,ooid_f1,ooid_support,broken_ooid_precision,broken_ooid_recall,broken_ooid_f1,broken_ooid_support,intraclast_precision,intraclast_recall,intraclast_f1,intraclast_support
3,hier_no_tta,0.5570703081696047,0.7509575569358178,0.6169962654550347,0.8638941398865785,0.9854721549636803,0.8847826086956522,0.9324169530355096,460,0.5961538461538461,0.7380952380952381,0.6595744680851063,42,0.36363636363636365,0.6666666666666666,0.4705882352941177,6,0.2830188679245283,0.7142857142857143,0.4054054054054054,21
3,hier_tta,0.576329739442947,0.7141821946169773,0.6183626479771772,0.8865784499054821,0.9904761904761905,0.9043478260869565,0.9454545454545453,460,0.6415094339622641,0.8095238095238095,0.7157894736842104,42,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.34,0.8095238095238095,0.47887323943661975,21
4,flat,0.6346862620260327,0.6412008281573499,0.6294256756756758,0.9224952741020794,0.9591397849462365,0.9695652173913043,0.9643243243243244,460,0.8421052631578947,0.7619047619047619,0.8,42,0.3,0.5,0.37499999999999994,6,0.4375,0.3333333333333333,0.37837837837837834,21
4,hier_no_tta,0.5896798388189084,0.7861542443064182,0.642614483145062,0.8809073724007561,0.9742990654205608,0.9065217391304348,0.9391891891891891,460,0.725,0.6904761904761905,0.7073170731707318,42,0.3333333333333333,0.8333333333333334,0.47619047619047616,6,0.32608695652173914,0.7142857142857143,0.4477611940298507,21
4,hier_tta,0.5536974266740453,0.728234989648033,0.6094532702837548,0.8733459357277883,0.9808153477218226,0.8891304347826087,0.9327251995438997,460,0.6923076923076923,0.8571428571428571,0.7659574468085107,42,0.25,0.5,0.3333333333333333,6,0.2916666666666667,0.6666666666666666,0.4057971014492754,21
5,flat,0.6133166603773119,0.6736542443064182,0.6385551224805739,0.9206049149338374,0.9799554565701559,0.9565217391304348,0.9680968096809681,460,0.7209302325581395,0.7380952380952381,0.7294117647058824,42,0.2857142857142857,0.3333333333333333,0.30769230769230765,6,0.4666666666666667,0.6666666666666666,0.5490196078431373,21
5,hier_no_tta,0.6840488289235441,0.6974378881987577,0.6661989155273655,0.9092627599243857,0.9772209567198178,0.9326086956521739,0.9543937708565071,460,0.6923076923076923,0.8571428571428571,0.7659574468085107,42,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.4,0.6666666666666666,0.5,21
5,hier_tta,0.7051639942233536,0.7288302277432712,0.6906536827794365,0.9206049149338374,0.9840546697038725,0.9391304347826087,0.9610678531701891,460,0.7254901960784313,0.8809523809523809,0.7956989247311828,42,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.4444444444444444,0.7619047619047619,0.5614035087719298,21
6,flat,0.8338088503056315,0.6915372670807454,0.7386594072474202,0.941398865784499,0.9678111587982833,0.9804347826086957,0.9740820734341252,460,0.7083333333333334,0.8095238095238095,0.7555555555555556,42,0.75,0.5,0.6,6,0.9090909090909091,0.47619047619047616,0.6249999999999999,21
6,hier_no_tta,0.6340516562290756,0.7612836438923396,0.6836135197889935,0.9073724007561437,0.9815668202764977,0.9260869565217391,0.953020134228188,460,0.6538461538461539,0.8095238095238095,0.7234042553191489,42,0.42857142857142855,0.5,0.4615384615384615,6,0.4722222222222222,0.8095238095238095,0.5964912280701755,21
6,hier_tta,0.6557850559578671,0.7726449275362319,0.69704991986046,0.9073724007561437,0.9792626728110599,0.9239130434782609,0.9507829977628636,460,0.6938775510204082,0.8095238095238095,0.7472527472527472,42,0.5,0.5,0.5,6,0.45,0.8571428571428571,0.5901639344262294,21
7,flat,0.8395410175507789,0.761335403726708,0.7919093034957317,0.947069943289225,0.9718004338394793,0.9739130434782609,0.9728555917480999,460,0.8863636363636364,0.9285714285714286,0.9069767441860465,42,1.0,0.6666666666666666,0.8,6,0.5,0.47619047619047616,0.4878048780487805,21
7,hier_no_tta,0.5987065668867002,0.8337215320910973,0.674785351060211,0.8582230623818525,0.9899749373433584,0.8586956521739131,0.919674039580908,460,0.5492957746478874,0.9285714285714286,0.6902654867256638,42,0.5555555555555556,0.8333333333333334,0.6666666666666667,6,0.3,0.7142857142857143,0.4225352112676056,21
7,hier_tta,0.6436766251845268,0.7303830227743271,0.6510107703811872,0.8638941398865785,0.9877149877149877,0.8739130434782608,0.9273356401384082,460,0.582089552238806,0.9285714285714286,0.7155963302752294,42,0.75,0.5,0.6,6,0.2549019607843137,0.6190476190476191,0.3611111111111111,21
8,flat,0.6217116626990806,0.6758281573498964,0.6343167657751828,0.9187145557655955,0.9715536105032823,0.9652173913043478,0.9683751363140676,460,0.7428571428571429,0.6190476190476191,0.6753246753246753,42,0.23076923076923078,0.5,0.3157894736842105,6,0.5416666666666666,0.6190476190476191,0.5777777777777778,21
8,hier_no_tta,0.5411534030485643,0.6384316770186336,0.5797047863840666,0.8695652173913043,0.9654377880184332,0.9108695652173913,0.9373601789709173,460,0.5384615384615384,0.6666666666666666,0.5957446808510638,42,0.375,0.5,0.42857142857142855,6,0.2857142857142857,0.47619047619047616,0.3571428571428571,21
8,hier_tta,0.5899527723867856,0.6914855072463768,0.632031622437629,0.8979206049149339,0.9772209567198178,0.9326086956521739,0.9543937708565071,460,0.5882352941176471,0.7142857142857143,0.6451612903225806,42,0.375,0.5,0.42857142857142855,6,0.41935483870967744,0.6190476190476191,0.5,21
9,flat,0.75714291414708,0.8251811594202899,0.7869960546382866,0.945179584120983,0.9801762114537445,0.967391304347826,0.973741794310722,460,0.8043478260869565,0.8809523809523809,0.8409090909090908,42,0.625,0.8333333333333334,0.7142857142857143,6,0.6190476190476191,0.6190476190476191,0.6190476190476191,21
9,hier_no_tta,0.5524650900230946,0.6774068322981366,0.5993667003449346,0.8941398865784499,0.9860788863109049,0.9239130434782609,0.9539842873176206,460,0.5961538461538461,0.7380952380952381,0.6595744680851063,42,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.40540540540540543,0.7142857142857143,0.5172413793103449,21
9,hier_tta,0.7153858747480113,0.8403209109730849,0.7653327292862175,0.9357277882797732,0.9932279909706546,0.9565217391304348,0.9745293466223698,460,0.7727272727272727,0.8095238095238095,0.7906976744186046,42,0.625,0.8333333333333334,0.7142857142857143,6,0.47058823529411764,0.7619047619047619,0.5818181818181817,21
